,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
0,2015,Abu Dhabi Grand Prix,19,Felipe Massa,experienced,00:01.357,1357.3168015812937
1,2015,Abu Dhabi Grand Prix,19,Valtteri Bottas,experienced,00:01.591,1591.8157551775178
2,2015,Australian Grand Prix,1,Felipe Massa,experienced,00:02.743,2743.8182355550225
3,2015,Austrian Grand Prix,8,Felipe Massa,experienced,00:09.102,9102.032818206051
4,2015,Austrian Grand Prix,8,Valtteri Bottas,experienced,00:09.005,9005.112896811104
5,2015,Bahrain Grand Prix,4,Felipe Massa,experienced,00:01.923,1923.1446085863113
6,2015,Bahrain Grand Prix,4,Valtteri Bottas,experienced,00:02.909,2909.045604192675
7,2015,Belgian Grand Prix,11,Felipe Massa,experienced,00:01.252,1252.49742208063
8,2015,Belgian Grand Prix,11,Valtteri Bottas,experienced,00:01.077,1077.8933186309382
9,2015,Brazilian Grand Prix,18,Felipe Massa,experienced,00:03.736,3736.2751461451335
10,2015,Brazilian Grand Prix,18,Valtteri Bottas,experienced,00:03.309,3309.9451153556442
11,2015,British Grand Prix,9,Felipe Massa,experienced,00:06.319,6319.039191403838
12,2015,British Grand Prix,9,Valtteri Bottas,experienced,00:06.897,6897.784441586307
13,2015,Canadian Grand Prix,7,Felipe Massa,experienced,00:02.923,2923.8385871391556
14,2015,Canadian Grand Prix,7,Valtteri Bottas,experienced,00:02.519,2519.8471062182252
15,2015,Chinese Grand Prix,3,Felipe Massa,experienced,00:02.638,2638.5372664576234
16,2015,Chinese Grand Prix,3,Valtteri Bottas,experienced,00:02.241,2241.5587043310475
17,2015,Hungarian Grand Prix,10,Felipe Massa,experienced,00:05.829,5829.238744015551
18,2015,Hungarian Grand Prix,10,Valtteri Bottas,experienced,00:06.492,6492.359609349701
19,2015,Italian Grand Prix,12,Felipe Massa,experienced,00:03.011,3011.3138015359277
20,2015,Italian Grand Prix,12,Valtteri Bottas,experienced,00:03.152,3152.0304052494234
21,2015,Japanese Grand Prix,14,Felipe Massa,experienced,00:01.194,1194.7417263929713
22,2015,Japanese Grand Prix,14,Valtteri Bottas,experienced,00:03.864,3864.467770627374
23,2015,Malaysian Grand Prix,2,Felipe Massa,experienced,00:02.185,2185.227953829084
24,2015,Malaysian Grand Prix,2,Valtteri Bottas,experienced,00:02.072,2072.2463828967207
25,2015,Mexican Grand Prix,17,Felipe Massa,experienced,00:06.005,6005.063932408134
26,2015,Mexican Grand Prix,17,Valtteri Bottas,experienced,00:06.714,6714.078683992792
27,2015,Monaco Grand Prix,6,Felipe Massa,experienced,00:06.112,6112.896040173078
28,2015,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:05.696,5696.485251530183
29,2015,Russian Grand Prix,15,Felipe Massa,experienced,00:01.814,1814.2576283625972
30,2015,Russian Grand Prix,15,Valtteri Bottas,experienced,00:01.977,1977.0885992492053
31,2015,Singapore Grand Prix,13,Felipe Massa,experienced,00:00.229,229.187287748468
32,2015,Singapore Grand Prix,13,Valtteri Bottas,experienced,00:00.859,859.5141069232056
33,2015,Spanish Grand Prix,5,Felipe Massa,experienced,00:04.148,4148.749591526759
34,2015,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:03.263,3263.085253778481
35,2015,United States Grand Prix,16,Felipe Massa,experienced,00:03.487,3487.3277719496027
36,2016,Abu Dhabi Grand Prix,21,Felipe Massa,experienced,00:01.442,1442.2198092625501
37,2016,Abu Dhabi Grand Prix,21,Valtteri Bottas,experienced,00:02.934,2934.0349975190597
38,2016,Australian Grand Prix,1,Felipe Massa,experienced,00:03.784,3784.0132488325244
39,2016,Australian Grand Prix,1,Valtteri Bottas,experienced,00:02.187,2187.2540009427653
40,2016,Austrian Grand Prix,9,Felipe Massa,experienced,00:08.364,8364.98909710341
41,2016,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:08.415,8415.617404011879
42,2016,Bahrain Grand Prix,2,Felipe Massa,experienced,00:03.775,3775.701191909181
43,2016,Bahrain Grand Prix,2,Valtteri Bottas,experienced,00:02.510,2510.9078109898887
44,2016,Belgian Grand Prix,13,Felipe Massa,experienced,00:00.602,602.869865614721
45,2016,Belgian Grand Prix,13,Valtteri Bottas,experienced,00:01.054,1054.105736727434
46,2016,Brazilian Grand Prix,20,Felipe Massa,experienced,00:13.529,13529.598463472435
47,2016,Brazilian Grand Prix,20,Valtteri Bottas,experienced,00:12.285,12285.089155294905
48,2016,British Grand Prix,10,Felipe Massa,experienced,00:07.269,7269.602587004257
49,2016,British Grand Prix,10,Valtteri Bottas,experienced,00:06.137,6137.884428077727
50,2016,Canadian Grand Prix,7,Felipe Massa,experienced,00:04.514,4514.853922090406
51,2016,Canadian Grand Prix,7,Valtteri Bottas,experienced,00:03.376,3376.716611093618
52,2016,Chinese Grand Prix,3,Felipe Massa,experienced,00:02.360,2360.8474251628345
53,2016,Chinese Grand Prix,3,Valtteri Bottas,experienced,00:03.462,3462.126893495771
54,2016,European Grand Prix,8,Felipe Massa,experienced,00:02.176,2176.8074083844176
55,2016,European Grand Prix,8,Valtteri Bottas,experienced,00:01.862,1862.9304725561492
56,2016,German Grand Prix,12,Felipe Massa,experienced,00:05.662,5662.625424168938
57,2016,German Grand Prix,12,Valtteri Bottas,experienced,00:02.785,2785.951204858192
58,2016,Hungarian Grand Prix,11,Felipe Massa,experienced,00:03.426,3426.53366788843
59,2016,Hungarian Grand Prix,11,Valtteri Bottas,experienced,00:03.298,3298.610946321464
60,2016,Italian Grand Prix,14,Felipe Massa,experienced,00:04.000,4000.5352689754395
61,2016,Italian Grand Prix,14,Valtteri Bottas,experienced,00:03.878,3878.1934580192014
62,2016,Japanese Grand Prix,17,Felipe Massa,experienced,00:03.139,3139.8631693213874
63,2016,Japanese Grand Prix,17,Valtteri Bottas,experienced,00:01.473,1473.9055160393398
64,2016,Malaysian Grand Prix,16,Felipe Massa,experienced,00:03.496,3496.9710284973266
65,2016,Malaysian Grand Prix,16,Valtteri Bottas,experienced,00:03.817,3817.1168572681668
66,2016,Mexican Grand Prix,19,Felipe Massa,experienced,00:06.523,6523.5126232478515
67,2016,Mexican Grand Prix,19,Valtteri Bottas,experienced,00:06.548,6548.596954926178
68,2016,Monaco Grand Prix,6,Felipe Massa,experienced,00:10.319,10319.568284069108
69,2016,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:11.114,11114.496088637936
70,2016,Russian Grand Prix,4,Felipe Massa,experienced,00:01.752,1752.1316944607927
71,2016,Russian Grand Prix,4,Valtteri Bottas,experienced,00:01.045,1045.5877240937239
72,2016,Singapore Grand Prix,15,Felipe Massa,experienced,00:01.579,1579.4918983278428
73,2016,Singapore Grand Prix,15,Valtteri Bottas,experienced,00:02.105,2105.9999180346363
74,2016,Spanish Grand Prix,5,Felipe Massa,experienced,00:03.802,3802.376452581721
75,2016,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:04.737,4737.575778176881
76,2016,United States Grand Prix,18,Felipe Massa,experienced,00:01.056,1056.3554789743791
77,2016,United States Grand Prix,18,Valtteri Bottas,experienced,00:00.942,942.4167129334694
78,2017,Abu Dhabi Grand Prix,20,Felipe Massa,experienced,00:01.619,1619.4751387297533
79,2017,Abu Dhabi Grand Prix,20,Lance Stroll,rookie,00:02.283,2283.5274323111776
80,2017,Australian Grand Prix,1,Felipe Massa,experienced,00:02.989,2989.121774548964
81,2017,Australian Grand Prix,1,Lance Stroll,rookie,00:05.430,5430.175546047978
82,2017,Austrian Grand Prix,9,Felipe Massa,experienced,00:02.265,2265.2085879666593
83,2017,Austrian Grand Prix,9,Lance Stroll,rookie,00:02.384,2384.9577588700045
