Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
113,2018,Italian Grand Prix,SAI,55,Renault,0 days 00:01:21.732000,0 days 00:00:27.227000,0 days 00:00:27.315000,0 days 00:00:27.190000,True,False,True
118,2018,Italian Grand Prix,SAI,55,Renault,0 days 00:01:21.552000,0 days 00:00:27.160000,0 days 00:00:27.273000,0 days 00:00:27.119000,True,False,True
124,2018,Italian Grand Prix,SAI,55,Renault,0 days 00:01:21.161000,0 days 00:00:26.939000,0 days 00:00:27.224000,0 days 00:00:26.998000,True,False,True
127,2018,Italian Grand Prix,SAI,55,Renault,0 days 00:01:21.041000,0 days 00:00:27.005000,0 days 00:00:27.085000,0 days 00:00:26.951000,True,False,True
130,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.673000,0 days 00:00:27.093000,0 days 00:00:27.552000,0 days 00:00:27.028000,True,False,True
132,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.570000,0 days 00:00:27.209000,0 days 00:00:27.472000,0 days 00:00:26.889000,True,False,True
135,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.346000,0 days 00:00:27.031000,0 days 00:00:27.374000,0 days 00:00:26.941000,True,False,True
138,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.315000,0 days 00:00:26.979000,0 days 00:00:27.339000,0 days 00:00:26.997000,True,False,True
141,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.407000,0 days 00:00:27.028000,0 days 00:00:27.302000,0 days 00:00:27.077000,True,False,True
144,2018,Italian Grand Prix,OCO,31,Racing Point,0 days 00:01:21.099000,0 days 00:00:26.868000,0 days 00:00:27.345000,0 days 00:00:26.886000,True,False,True
171,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:22.525000,0 days 00:00:27.439000,0 days 00:00:27.777000,0 days 00:00:27.309000,True,False,True
173,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:22.085000,0 days 00:00:27.424000,0 days 00:00:27.481000,0 days 00:00:27.180000,True,False,True
176,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.838000,0 days 00:00:27.303000,0 days 00:00:27.241000,0 days 00:00:27.294000,True,False,True
179,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.494000,0 days 00:00:27.119000,0 days 00:00:27.231000,0 days 00:00:27.144000,True,False,True
182,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.627000,0 days 00:00:27.183000,0 days 00:00:27.313000,0 days 00:00:27.131000,True,False,True
197,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.605000,0 days 00:00:27.602000,0 days 00:00:27.545000,0 days 00:00:27.458000,True,False,True
199,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.171000,0 days 00:00:27.332000,0 days 00:00:27.627000,0 days 00:00:27.212000,True,False,True
202,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.007000,0 days 00:00:27.196000,0 days 00:00:27.576000,0 days 00:00:27.235000,True,False,True
204,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:21.813000,0 days 00:00:27.193000,0 days 00:00:27.530000,0 days 00:00:27.090000,True,False,True
207,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:21.732000,0 days 00:00:27.208000,0 days 00:00:27.369000,0 days 00:00:27.155000,True,False,True
224,2018,Italian Grand Prix,HUL,27,Renault,0 days 00:01:22.942000,0 days 00:00:27.648000,0 days 00:00:27.872000,0 days 00:00:27.422000,True,False,True
226,2018,Italian Grand Prix,HUL,27,Renault,0 days 00:01:22.544000,0 days 00:00:27.545000,0 days 00:00:27.719000,0 days 00:00:27.280000,True,False,True
229,2018,Italian Grand Prix,HUL,27,Renault,0 days 00:01:21.801000,0 days 00:00:27.271000,0 days 00:00:27.416000,0 days 00:00:27.114000,True,False,True
239,2018,Italian Grand Prix,PER,11,Racing Point,0 days 00:01:22.027000,0 days 00:00:27.215000,0 days 00:00:27.614000,0 days 00:00:27.198000,True,False,True
241,2018,Italian Grand Prix,PER,11,Racing Point,0 days 00:01:21.888000,0 days 00:00:27.313000,0 days 00:00:27.479000,0 days 00:00:27.096000,True,False,True
392,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:14.042000,0 days 00:00:19.705000,0 days 00:00:34.786000,0 days 00:00:19.551000,True,False,True
394,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:13.306000,0 days 00:00:19.534000,0 days 00:00:34.251000,0 days 00:00:19.521000,True,False,True
397,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:13.122000,0 days 00:00:19.355000,0 days 00:00:34.266000,0 days 00:00:19.501000,True,False,True
400,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:13.028000,0 days 00:00:19.125000,0 days 00:00:34.222000,0 days 00:00:19.681000,True,False,True
403,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:12.455000,0 days 00:00:19.191000,0 days 00:00:33.967000,0 days 00:00:19.297000,True,False,True
408,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:12.188000,0 days 00:00:19.128000,0 days 00:00:33.826000,0 days 00:00:19.234000,True,False,True
413,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:12.669000,0 days 00:00:19.268000,0 days 00:00:34.066000,0 days 00:00:19.335000,True,False,True
416,2018,Monaco Grand Prix,OCO,31,Force India,0 days 00:01:12.061000,0 days 00:00:19.063000,0 days 00:00:33.795000,0 days 00:00:19.203000,True,False,True
445,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:28.927000,0 days 00:00:20.926000,0 days 00:00:40.114000,0 days 00:00:27.887000,True,False,True
446,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:24.184000,0 days 00:00:21.291000,0 days 00:00:41.671000,0 days 00:00:21.222000,True,False,True
447,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:13.258000,0 days 00:00:19.203000,0 days 00:00:34.454000,0 days 00:00:19.601000,True,False,True
449,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:13.121000,0 days 00:00:19.174000,0 days 00:00:34.419000,0 days 00:00:19.528000,True,False,True
451,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.997000,0 days 00:00:19.281000,0 days 00:00:34.171000,0 days 00:00:19.545000,True,False,True
454,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.950000,0 days 00:00:19.203000,0 days 00:00:34.171000,0 days 00:00:19.576000,True,False,True
457,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:19.356000,0 days 00:00:20.091000,0 days 00:00:37.347000,0 days 00:00:21.918000,True,False,True
458,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.655000,0 days 00:00:18.999000,0 days 00:00:34.227000,0 days 00:00:19.429000,True,False,True
460,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.495000,0 days 00:00:19.023000,0 days 00:00:34.182000,0 days 00:00:19.290000,True,False,True
463,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.286000,0 days 00:00:18.977000,0 days 00:00:33.923000,0 days 00:00:19.386000,True,False,True
466,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.266000,0 days 00:00:18.929000,0 days 00:00:33.859000,0 days 00:00:19.478000,True,False,True
470,2018,Monaco Grand Prix,SAI,55,Renault,0 days 00:01:12.130000,0 days 00:00:18.967000,0 days 00:00:33.828000,0 days 00:00:19.335000,True,False,True
475,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:13.196000,0 days 00:00:19.387000,0 days 00:00:34.254000,0 days 00:00:19.555000,True,False,True
477,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:13.036000,0 days 00:00:19.317000,0 days 00:00:34.325000,0 days 00:00:19.394000,True,False,True
480,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.848000,0 days 00:00:19.199000,0 days 00:00:34.123000,0 days 00:00:19.526000,True,False,True
484,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.194000,0 days 00:00:18.991000,0 days 00:00:33.906000,0 days 00:00:19.297000,True,False,True
490,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.583000,0 days 00:00:19.229000,0 days 00:00:33.945000,0 days 00:00:19.409000,True,False,True
