race_id,gp_year,gp_name,gp_round,driver_id,driver_name,constructor,constructor_ref,is_williams,stop_number,lap_number,time_of_stop,pit_duration,pit_duration_ms,pit_duration_s
926,2015,Australian Grand Prix,1,807,Nico Hülkenberg,Force India,force_india,false,1,21,16:39:11,22.137,22137,22.137
926,2015,Australian Grand Prix,1,815,Sergio Pérez,Force India,force_india,false,1,38,17:06:52,26.009,26009,26.009
926,2015,Australian Grand Prix,1,807,Nico Hülkenberg,Force India,force_india,false,2,44,17:15:43,21.612,21612,21.612
926,2015,Australian Grand Prix,1,13,Felipe Massa,Williams,williams,true,1,21,16:38:38,22.062,22062,22.062
927,2015,Malaysian Grand Prix,2,807,Nico Hülkenberg,Force India,force_india,false,1,15,15:32:38,25.826,25826,25.826
927,2015,Malaysian Grand Prix,2,815,Sergio Pérez,Force India,force_india,false,1,17,15:36:31,25.268,25268,25.268
927,2015,Malaysian Grand Prix,2,807,Nico Hülkenberg,Force India,force_india,false,2,31,16:02:02,25.047,25047,25.047
927,2015,Malaysian Grand Prix,2,815,Sergio Pérez,Force India,force_india,false,2,35,16:09:15,35.776,35776,35.776
927,2015,Malaysian Grand Prix,2,807,Nico Hülkenberg,Force India,force_india,false,3,44,16:25:34,35.351,35351,35.351
927,2015,Malaysian Grand Prix,2,13,Felipe Massa,Williams,williams,true,1,4,15:11:16,25.831,25831,25.831
927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,Williams,williams,true,1,4,15:11:24,30.154,30154,30.154
927,2015,Malaysian Grand Prix,2,13,Felipe Massa,Williams,williams,true,2,24,15:48:49,24.788,24788,24.788
927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,Williams,williams,true,2,25,15:50:42,24.432,24432,24.432
927,2015,Malaysian Grand Prix,2,13,Felipe Massa,Williams,williams,true,3,38,16:13:54,26.971,26971,26.971
927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,Williams,williams,true,3,40,16:17:30,25.002,25002,25.002
928,2015,Chinese Grand Prix,3,815,Sergio Pérez,Force India,force_india,false,1,11,14:23:19,22.829,22829,22.829
928,2015,Chinese Grand Prix,3,815,Sergio Pérez,Force India,force_india,false,2,26,14:50:03,23.338,23338,23.338
928,2015,Chinese Grand Prix,3,815,Sergio Pérez,Force India,force_india,false,3,41,15:16:42,23.144,23144,23.144
928,2015,Chinese Grand Prix,3,13,Felipe Massa,Williams,williams,true,1,13,14:26:33,23.145,23145,23.145
928,2015,Chinese Grand Prix,3,822,Valtteri Bottas,Williams,williams,true,1,14,14:28:20,23.084,23084,23.084
928,2015,Chinese Grand Prix,3,13,Felipe Massa,Williams,williams,true,2,34,15:03:37,23.317,23317,23.317
928,2015,Chinese Grand Prix,3,822,Valtteri Bottas,Williams,williams,true,2,35,15:05:28,23.582,23582,23.582
929,2015,Bahrain Grand Prix,4,807,Nico Hülkenberg,Force India,force_india,false,1,10,18:20:48,26.652,26652,26.652
929,2015,Bahrain Grand Prix,4,815,Sergio Pérez,Force India,force_india,false,1,17,18:32:51,25.573,25573,25.573
929,2015,Bahrain Grand Prix,4,807,Nico Hülkenberg,Force India,force_india,false,2,25,18:46:33,24.679,24679,24.679
929,2015,Bahrain Grand Prix,4,815,Sergio Pérez,Force India,force_india,false,2,37,19:06:50,25.288,25288,25.288
929,2015,Bahrain Grand Prix,4,807,Nico Hülkenberg,Force India,force_india,false,3,38,19:08:50,24.979,24979,24.979
929,2015,Bahrain Grand Prix,4,13,Felipe Massa,Williams,williams,true,1,10,18:20:57,24.894,24894,24.894
929,2015,Bahrain Grand Prix,4,822,Valtteri Bottas,Williams,williams,true,1,14,18:27:28,25.293,25293,25.293
929,2015,Bahrain Grand Prix,4,13,Felipe Massa,Williams,williams,true,2,24,18:44:53,25.017,25017,25.017
929,2015,Bahrain Grand Prix,4,822,Valtteri Bottas,Williams,williams,true,2,33,18:59:33,24.623,24623,24.623
930,2015,Spanish Grand Prix,5,807,Nico Hülkenberg,Force India,force_india,false,1,10,14:19:46,22.659,22659,22.659
930,2015,Spanish Grand Prix,5,815,Sergio Pérez,Force India,force_india,false,1,19,14:33:59,22.468,22468,22.468
930,2015,Spanish Grand Prix,5,807,Nico Hülkenberg,Force India,force_india,false,2,26,14:45:13,22.534,22534,22.534
930,2015,Spanish Grand Prix,5,815,Sergio Pérez,Force India,force_india,false,2,36,15:01:03,22.426,22426,22.426
930,2015,Spanish Grand Prix,5,807,Nico Hülkenberg,Force India,force_india,false,3,49,15:21:24,22.545,22545,22.545
930,2015,Spanish Grand Prix,5,13,Felipe Massa,Williams,williams,true,1,14,14:25:37,22.139,22139,22.139
