,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta,gained_or_lost,num_places
0,1029,2019,Brazilian Grand Prix,20,George Russell,Williams,williams,True,18,12,6,gained,6
1,1019,2019,British Grand Prix,10,George Russell,Williams,williams,True,19,14,5,gained,5
2,1023,2019,Italian Grand Prix,14,George Russell,Williams,williams,True,14,14,0,gained,0
3,1015,2019,Monaco Grand Prix,6,George Russell,Williams,williams,True,19,15,4,gained,4
4,1019,2019,British Grand Prix,10,Robert Kubica,Williams,williams,True,20,15,5,gained,5
5,1022,2019,Belgian Grand Prix,13,George Russell,Williams,williams,True,14,15,-1,lost,1
6,1021,2019,Hungarian Grand Prix,12,George Russell,Williams,williams,True,15,16,-1,lost,1
7,1024,2019,Singapore Grand Prix,15,Robert Kubica,Williams,williams,True,19,16,3,gained,3
8,1026,2019,Japanese Grand Prix,17,George Russell,Williams,williams,True,18,16,2,gained,2
9,1029,2019,Brazilian Grand Prix,20,Robert Kubica,Williams,williams,True,19,16,3,gained,3
10,1014,2019,Spanish Grand Prix,5,George Russell,Williams,williams,True,19,17,2,gained,2
11,1023,2019,Italian Grand Prix,14,Robert Kubica,Williams,williams,True,15,17,-2,lost,2
12,1014,2019,Spanish Grand Prix,5,Robert Kubica,Williams,williams,True,17,18,-1,lost,1
13,1015,2019,Monaco Grand Prix,6,Robert Kubica,Williams,williams,True,20,18,2,gained,2
14,1021,2019,Hungarian Grand Prix,12,Robert Kubica,Williams,williams,True,19,19,0,gained,0
15,1018,2019,Austrian Grand Prix,9,Robert Kubica,Williams,williams,True,17,20,-3,lost,3
16,1014,2019,Spanish Grand Prix,5,Daniel Ricciardo,Renault,renault,False,13,12,1,gained,1
17,1018,2019,Austrian Grand Prix,9,Daniel Ricciardo,Renault,renault,False,12,12,0,gained,0
18,1021,2019,Hungarian Grand Prix,12,Daniel Ricciardo,Renault,renault,False,20,14,6,gained,6
19,1022,2019,Belgian Grand Prix,13,Daniel Ricciardo,Renault,renault,False,10,14,-4,lost,4
20,1024,2019,Singapore Grand Prix,15,Daniel Ricciardo,Renault,renault,False,20,14,6,gained,6
21,1023,2019,Italian Grand Prix,14,Daniel Ricciardo,Renault,renault,False,5,4,1,gained,1
22,1029,2019,Brazilian Grand Prix,20,Daniel Ricciardo,Renault,renault,False,11,6,5,gained,5
23,1019,2019,British Grand Prix,10,Daniel Ricciardo,Renault,renault,False,7,7,0,gained,0
24,1015,2019,Monaco Grand Prix,6,Daniel Ricciardo,Renault,renault,False,6,9,-3,lost,3
25,973,2017,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,haas,False,14,10,4,gained,4
26,1000,2018,Hungarian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,10,10,0,gained,0
27,1014,2019,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,haas,False,7,10,-3,lost,3
28,1015,2019,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,13,10,3,gained,3
29,961,2016,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,17,11,6,gained,6
30,964,2016,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,7,11,-4,lost,4
31,1024,2019,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,17,11,6,gained,6
32,953,2016,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,15,13,2,gained,2
33,960,2016,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,11,13,-2,lost,2
34,978,2017,British Grand Prix,10,Romain Grosjean,Haas F1 Team,haas,False,10,13,-3,lost,3
35,1022,2019,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,9,13,-4,lost,4
36,1026,2019,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,10,13,-3,lost,3
37,1029,2019,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,haas,False,7,13,-6,lost,6
38,958,2016,Hungarian Grand Prix,11,Romain Grosjean,Haas F1 Team,haas,False,11,14,-3,lost,3
39,981,2017,Italian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,20,15,5,gained,5
40,987,2017,Brazilian Grand Prix,19,Romain Grosjean,Haas F1 Team,haas,False,11,15,-4,lost,4
41,994,2018,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,18,15,3,gained,3
42,1003,2018,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,8,15,-7,lost,7
43,1018,2019,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,11,16,-5,lost,5
44,1023,2019,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,13,16,-3,lost,3
45,997,2018,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,5,4,1,gained,1
46,977,2017,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,6,6,0,gained,0
47,956,2016,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,13,7,6,gained,6
48,980,2017,Belgian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,11,7,4,gained,4
49,1001,2018,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,5,7,-2,lost,2
50,974,2017,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,8,8,0,gained,0
51,1005,2018,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,5,8,-3,lost,3
52,1008,2018,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,haas,False,8,8,0,gained,0
53,982,2017,Singapore Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,15,9,6,gained,6
54,984,2017,Japanese Grand Prix,16,Romain Grosjean,Haas F1 Team,haas,False,13,9,4,gained,4
55,998,2018,British Grand Prix,10,Sergio Pérez,Force India,force_india,False,12,10,2,gained,2
56,1008,2018,Brazilian Grand Prix,20,Sergio Pérez,Force India,force_india,False,12,10,2,gained,2
57,958,2016,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,11,2,gained,2
58,1018,2019,Austrian Grand Prix,9,Sergio Pérez,Racing Point,racing_point,False,13,11,2,gained,2
59,1021,2019,Hungarian Grand Prix,12,Sergio Pérez,Racing Point,racing_point,False,16,11,5,gained,5
60,940,2015,Japanese Grand Prix,14,Sergio Pérez,Force India,force_india,False,9,12,-3,lost,3
61,944,2015,Brazilian Grand Prix,18,Sergio Pérez,Force India,force_india,False,11,12,-1,lost,1
62,994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,9,12,-3,lost,3
63,1015,2019,Monaco Grand Prix,6,Sergio Pérez,Racing Point,racing_point,False,16,12,4,gained,4
64,930,2015,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,18,13,5,gained,5
65,974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,13,-6,lost,6
66,1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,force_india,False,19,14,5,gained,5
67,1014,2019,Spanish Grand Prix,5,Sergio Pérez,Racing Point,racing_point,False,15,15,0,gained,0
68,1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,7,16,-9,lost,9
69,956,2016,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,False,16,17,-1,lost,1
70,980,2017,Belgian Grand Prix,12,Sergio Pérez,Force India,force_india,False,8,17,-9,lost,9
71,1019,2019,British Grand Prix,10,Sergio Pérez,Racing Point,racing_point,False,15,17,-2,lost,2
72,953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,3,4,gained,4
73,967,2016,Brazilian Grand Prix,20,Sergio Pérez,Force India,force_india,False,9,4,5,gained,5
74,973,2017,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,8,4,4,gained,4
75,937,2015,Belgian Grand Prix,11,Sergio Pérez,Force India,force_india,False,4,5,-1,lost,1
76,960,2016,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,False,6,5,1,gained,1
77,982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,force_india,False,12,5,7,gained,7
78,1001,2018,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,False,4,5,-1,lost,1
79,938,2015,Italian Grand Prix,12,Sergio Pérez,Force India,force_india,False,7,6,1,gained,1
80,957,2016,British Grand Prix,10,Sergio Pérez,Force India,force_india,False,10,6,4,gained,4
81,1022,2019,Belgian Grand Prix,13,Sergio Pérez,Racing Point,racing_point,False,7,6,1,gained,1
