,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
0,1015,2019,Monaco Grand Prix,6,George Russell,Williams,williams,True,19,15,4
1,1021,2019,Hungarian Grand Prix,12,George Russell,Williams,williams,True,15,16,-1
2,1024,2019,Singapore Grand Prix,15,Robert Kubica,Williams,williams,True,19,16,3
3,1015,2019,Monaco Grand Prix,6,Robert Kubica,Williams,williams,True,20,18,2
4,1021,2019,Hungarian Grand Prix,12,Robert Kubica,Williams,williams,True,19,19,0
5,1021,2019,Hungarian Grand Prix,12,Daniel Ricciardo,Renault,renault,False,20,14,6
6,1024,2019,Singapore Grand Prix,15,Daniel Ricciardo,Renault,renault,False,20,14,6
7,1015,2019,Monaco Grand Prix,6,Daniel Ricciardo,Renault,renault,False,6,9,-3
8,1000,2018,Hungarian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,10,10,0
9,1015,2019,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,13,10,3
10,1024,2019,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,17,11,6
11,953,2016,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,15,13,2
12,958,2016,Hungarian Grand Prix,11,Romain Grosjean,Haas F1 Team,haas,False,11,14,-3
13,994,2018,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,18,15,3
14,1003,2018,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,8,15,-7
15,974,2017,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,8,8,0
16,982,2017,Singapore Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,15,9,6
17,958,2016,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,11,2
18,1021,2019,Hungarian Grand Prix,12,Sergio Pérez,Racing Point,racing_point,False,16,11,5
19,994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,9,12,-3
20,1015,2019,Monaco Grand Prix,6,Sergio Pérez,Racing Point,racing_point,False,16,12,4
21,974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,13,-6
22,1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,force_india,False,19,14,5
23,1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,7,16,-9
24,953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,3,4
25,982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,force_india,False,12,5,7
