,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
0,1000,2018,Hungarian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,10,10,0
1,1015,2019,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,13,10,3
2,1024,2019,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,17,11,6
3,953,2016,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,15,13,2
4,958,2016,Hungarian Grand Prix,11,Romain Grosjean,Haas F1 Team,haas,False,11,14,-3
5,994,2018,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,18,15,3
6,1003,2018,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,8,15,-7
7,974,2017,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,8,8,0
8,982,2017,Singapore Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,15,9,6
9,974,2017,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,11,10,1
10,979,2017,Hungarian Grand Prix,11,Kevin Magnussen,Haas F1 Team,haas,False,15,13,2
11,994,2018,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,19,13,6
12,1021,2019,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,False,14,13,1
13,1015,2019,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,False,5,14,-9
14,1024,2019,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,False,13,17,-4
15,1003,2018,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,False,16,18,-2
16,1000,2018,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,False,9,7,2
17,953,2016,Monaco Grand Prix,6,Esteban Gutiérrez,Haas F1 Team,haas,False,12,11,1
18,962,2016,Singapore Grand Prix,15,Esteban Gutiérrez,Haas F1 Team,haas,False,13,11,2
