race_id,gp_year,gp_name,gp_round,driver_name,constructor,is_williams,start_position,final_position,grid_delta
1020,2019,German Grand Prix,11,Robert Kubica,Williams,True,18,10,-8
1020,2019,German Grand Prix,11,George Russell,Williams,True,17,11,-6
1029,2019,Brazilian Grand Prix,20,George Russell,Williams,True,18,12,-6
1019,2019,British Grand Prix,10,George Russell,Williams,True,19,14,-5
1023,2019,Italian Grand Prix,14,George Russell,Williams,True,14,14,0
1011,2019,Bahrain Grand Prix,2,George Russell,Williams,True,19,15,-4
1013,2019,Azerbaijan Grand Prix,4,George Russell,Williams,True,16,15,-1
1015,2019,Monaco Grand Prix,6,George Russell,Williams,True,19,15,-4
1019,2019,British Grand Prix,10,Robert Kubica,Williams,True,20,15,-5
1022,2019,Belgian Grand Prix,13,George Russell,Williams,True,14,15,1
1010,2019,Australian Grand Prix,1,George Russell,Williams,True,19,16,-3
1011,2019,Bahrain Grand Prix,2,Robert Kubica,Williams,True,20,16,-4
1012,2019,Chinese Grand Prix,3,George Russell,Williams,True,17,16,-1
1016,2019,Canadian Grand Prix,7,George Russell,Williams,True,18,16,-2
1021,2019,Hungarian Grand Prix,12,George Russell,Williams,True,15,16,1
1024,2019,Singapore Grand Prix,15,Robert Kubica,Williams,True,19,16,-3
1026,2019,Japanese Grand Prix,17,George Russell,Williams,True,18,16,-2
1027,2019,Mexican Grand Prix,18,George Russell,Williams,True,19,16,-3
1029,2019,Brazilian Grand Prix,20,Robert Kubica,Williams,True,19,16,-3
1010,2019,Australian Grand Prix,1,Robert Kubica,Williams,True,20,17,-3
1012,2019,Chinese Grand Prix,3,Robert Kubica,Williams,True,18,17,-1
1014,2019,Spanish Grand Prix,5,George Russell,Williams,True,19,17,-2
1023,2019,Italian Grand Prix,14,Robert Kubica,Williams,True,15,17,2
1028,2019,United States Grand Prix,19,George Russell,Williams,True,18,17,-1
1030,2019,Abu Dhabi Grand Prix,21,George Russell,Williams,True,18,17,-1
1014,2019,Spanish Grand Prix,5,Robert Kubica,Williams,True,17,18,1
1015,2019,Monaco Grand Prix,6,Robert Kubica,Williams,True,20,18,-2
1016,2019,Canadian Grand Prix,7,Robert Kubica,Williams,True,19,18,-1
1017,2019,French Grand Prix,8,Robert Kubica,Williams,True,18,18,0
1027,2019,Mexican Grand Prix,18,Robert Kubica,Williams,True,20,18,-2
1017,2019,French Grand Prix,8,George Russell,Williams,True,20,19,-1
1021,2019,Hungarian Grand Prix,12,Robert Kubica,Williams,True,19,19,0
1030,2019,Abu Dhabi Grand Prix,21,Robert Kubica,Williams,True,19,19,0
1018,2019,Austrian Grand Prix,9,Robert Kubica,Williams,True,17,20,3
1017,2019,French Grand Prix,8,Daniel Ricciardo,Renault,False,8,11,3
1030,2019,Abu Dhabi Grand Prix,21,Daniel Ricciardo,Renault,False,7,11,4
1014,2019,Spanish Grand Prix,5,Daniel Ricciardo,Renault,False,13,12,-1
1018,2019,Austrian Grand Prix,9,Daniel Ricciardo,Renault,False,12,12,0
1021,2019,Hungarian Grand Prix,12,Daniel Ricciardo,Renault,False,20,14,-6
1022,2019,Belgian Grand Prix,13,Daniel Ricciardo,Renault,False,10,14,4
1024,2019,Singapore Grand Prix,15,Daniel Ricciardo,Renault,False,20,14,-6
1023,2019,Italian Grand Prix,14,Daniel Ricciardo,Renault,False,5,4,-1
1016,2019,Canadian Grand Prix,7,Daniel Ricciardo,Renault,False,4,6,2
1028,2019,United States Grand Prix,19,Daniel Ricciardo,Renault,False,9,6,-3
1029,2019,Brazilian Grand Prix,20,Daniel Ricciardo,Renault,False,11,6,-5
1012,2019,Chinese Grand Prix,3,Daniel Ricciardo,Renault,False,7,7,0
1019,2019,British Grand Prix,10,Daniel Ricciardo,Renault,False,7,7,0
1027,2019,Mexican Grand Prix,18,Daniel Ricciardo,Renault,False,13,8,-5
1015,2019,Monaco Grand Prix,6,Daniel Ricciardo,Renault,False,6,9,3
965,2016,United States Grand Prix,18,Romain Grosjean,Haas F1 Team,False,17,10,-7
973,2017,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,False,14,10,-4
975,2017,Canadian Grand Prix,7,Romain Grosjean,Haas F1 Team,False,14,10,-4
1000,2018,Hungarian Grand Prix,12,Romain Grosjean,Haas F1 Team,False,10,10,0
1014,2019,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,False,7,10,3
1015,2019,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,False,13,10,-3
961,2016,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,False,17,11,-6
964,2016,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,False,7,11,4
968,2016,Abu Dhabi Grand Prix,21,Romain Grosjean,Haas F1 Team,False,14,11,-3
970,2017,Chinese Grand Prix,2,Romain Grosjean,Haas F1 Team,False,19,11,-8
988,2017,Abu Dhabi Grand Prix,20,Romain Grosjean,Haas F1 Team,False,16,11,-5
996,2018,French Grand Prix,8,Romain Grosjean,Haas F1 Team,False,10,11,1
1004,2018,Russian Grand Prix,16,Romain Grosjean,Haas F1 Team,False,9,11,2
1012,2019,Chinese Grand Prix,3,Romain Grosjean,Haas F1 Team,False,10,11,1
1024,2019,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,False,17,11,-6
995,2018,Canadian Grand Prix,7,Romain Grosjean,Haas F1 Team,False,20,12,-8
953,2016,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,False,15,13,-2
955,2016,European Grand Prix,8,Romain Grosjean,Haas F1 Team,False,11,13,2
959,2016,German Grand Prix,12,Romain Grosjean,Haas F1 Team,False,20,13,-7
960,2016,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,False,11,13,2
976,2017,Azerbaijan Grand Prix,8,Romain Grosjean,Haas F1 Team,False,16,13,-3
978,2017,British Grand Prix,10,Romain Grosjean,Haas F1 Team,False,10,13,3
983,2017,Malaysian Grand Prix,15,Romain Grosjean,Haas F1 Team,False,16,13,-3
990,2018,Bahrain Grand Prix,2,Romain Grosjean,Haas F1 Team,False,16,13,-3
1022,2019,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,False,9,13,4
1026,2019,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,False,10,13,3
1029,2019,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,False,7,13,6
954,2016,Canadian Grand Prix,7,Romain Grosjean,Haas F1 Team,False,14,14,0
958,2016,Hungarian Grand Prix,11,Romain Grosjean,Haas F1 Team,False,11,14,3
985,2017,United States Grand Prix,17,Romain Grosjean,Haas F1 Team,False,12,14,2
1016,2019,Canadian Grand Prix,7,Romain Grosjean,Haas F1 Team,False,14,14,0
981,2017,Italian Grand Prix,13,Romain Grosjean,Haas F1 Team,False,20,15,-5
986,2017,Mexican Grand Prix,18,Romain Grosjean,Haas F1 Team,False,15,15,0
987,2017,Brazilian Grand Prix,19,Romain Grosjean,Haas F1 Team,False,11,15,4
994,2018,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,False,18,15,-3
1003,2018,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,False,8,15,7
1028,2019,United States Grand Prix,19,Romain Grosjean,Haas F1 Team,False,15,15,0
1030,2019,Abu Dhabi Grand Prix,21,Romain Grosjean,Haas F1 Team,False,15,15,0
1007,2018,Mexican Grand Prix,19,Romain Grosjean,Haas F1 Team,False,18,16,-2
1018,2019,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,False,11,16,5
1023,2019,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,False,13,16,3
991,2018,Chinese Grand Prix,3,Romain Grosjean,Haas F1 Team,False,10,17,7
1027,2019,Mexican Grand Prix,18,Romain Grosjean,Haas F1 Team,False,18,17,-1
950,2016,Chinese Grand Prix,3,Romain Grosjean,Haas F1 Team,False,14,19,5
966,2016,Mexican Grand Prix,19,Romain Grosjean,Haas F1 Team,False,22,20,-2
1017,2019,French Grand Prix,8,Romain Grosjean,Haas F1 Team,False,16,20,4
997,2018,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,False,5,4,-1
949,2016,Bahrain Grand Prix,2,Romain Grosjean,Haas F1 Team,False,9,5,-4
948,2016,Australian Grand Prix,1,Romain Grosjean,Haas F1 Team,False,19,6,-13
977,2017,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,False,6,6,0
999,2018,German Grand Prix,11,Romain Grosjean,Haas F1 Team,False,6,6,0
956,2016,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,False,13,7,-6
980,2017,Belgian Grand Prix,12,Romain Grosjean,Haas F1 Team,False,11,7,-4
1001,2018,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,False,5,7,2
1020,2019,German Grand Prix,11,Romain Grosjean,Haas F1 Team,False,6,7,1
951,2016,Russian Grand Prix,4,Romain Grosjean,Haas F1 Team,False,15,8,-7
971,2017,Bahrain Grand Prix,3,Romain Grosjean,Haas F1 Team,False,9,8,-1
974,2017,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,False,8,8,0
1005,2018,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,False,5,8,3
1008,2018,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,False,8,8,0
982,2017,Singapore Grand Prix,14,Romain Grosjean,Haas F1 Team,False,15,9,-6
984,2017,Japanese Grand Prix,16,Romain Grosjean,Haas F1 Team,False,13,9,-4
1009,2018,Abu Dhabi Grand Prix,21,Romain Grosjean,Haas F1 Team,False,7,9,2
926,2015,Australian Grand Prix,1,Sergio Pérez,Force India,False,14,10,-4
954,2016,Canadian Grand Prix,7,Sergio Pérez,Force India,False,11,10,-1
959,2016,German Grand Prix,12,Sergio Pérez,Force India,False,9,10,1
966,2016,Mexican Grand Prix,19,Sergio Pérez,Force India,False,12,10,-2
998,2018,British Grand Prix,10,Sergio Pérez,Force India,False,12,10,-2
1004,2018,Russian Grand Prix,16,Sergio Pérez,Force India,False,8,10,2
1008,2018,Brazilian Grand Prix,20,Sergio Pérez,Force India,False,12,10,-2
1011,2019,Bahrain Grand Prix,2,Sergio Pérez,Racing Point,False,14,10,-4
928,2015,Chinese Grand Prix,3,Sergio Pérez,Force India,False,15,11,-4
932,2015,Canadian Grand Prix,7,Sergio Pérez,Force India,False,10,11,1
950,2016,Chinese Grand Prix,3,Sergio Pérez,Force India,False,7,11,4
958,2016,Hungarian Grand Prix,11,Sergio Pérez,Force India,False,13,11,-2
989,2018,Australian Grand Prix,1,Sergio Pérez,Force India,False,12,11,-1
1018,2019,Austrian Grand Prix,9,Sergio Pérez,Racing Point,False,13,11,-2
1021,2019,Hungarian Grand Prix,12,Sergio Pérez,Racing Point,False,16,11,-5
940,2015,Japanese Grand Prix,14,Sergio Pérez,Force India,False,9,12,3
944,2015,Brazilian Grand Prix,18,Sergio Pérez,Force India,False,11,12,1
991,2018,Chinese Grand Prix,3,Sergio Pérez,Force India,False,8,12,4
994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,False,9,12,3
1015,2019,Monaco Grand Prix,6,Sergio Pérez,Racing Point,False,16,12,-4
1016,2019,Canadian Grand Prix,7,Sergio Pérez,Racing Point,False,15,12,-3
1017,2019,French Grand Prix,8,Sergio Pérez,Racing Point,False,14,12,-2
927,2015,Malaysian Grand Prix,2,Sergio Pérez,Force India,False,14,13,-1
930,2015,Spanish Grand Prix,5,Sergio Pérez,Force India,False,18,13,-5
948,2016,Australian Grand Prix,1,Sergio Pérez,Force India,False,9,13,4
974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,False,7,13,6
1010,2019,Australian Grand Prix,1,Sergio Pérez,Racing Point,False,10,13,3
995,2018,Canadian Grand Prix,7,Sergio Pérez,Force India,False,10,14,4
1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,False,19,14,-5
1014,2019,Spanish Grand Prix,5,Sergio Pérez,Racing Point,False,15,15,0
949,2016,Bahrain Grand Prix,2,Sergio Pérez,Force India,False,18,16,-2
990,2018,Bahrain Grand Prix,2,Sergio Pérez,Force India,False,12,16,4
1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,False,7,16,9
956,2016,Austrian Grand Prix,9,Sergio Pérez,Force India,False,16,17,1
980,2017,Belgian Grand Prix,12,Sergio Pérez,Force India,False,8,17,9
1019,2019,British Grand Prix,10,Sergio Pérez,Racing Point,False,15,17,2
941,2015,Russian Grand Prix,15,Sergio Pérez,Force India,False,7,3,-4
953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,False,7,3,-4
955,2016,European Grand Prix,8,Sergio Pérez,Force India,False,7,3,-4
992,2018,Azerbaijan Grand Prix,4,Sergio Pérez,Force India,False,8,3,-5
967,2016,Brazilian Grand Prix,20,Sergio Pérez,Force India,False,9,4,-5
973,2017,Spanish Grand Prix,5,Sergio Pérez,Force India,False,8,4,-4
937,2015,Belgian Grand Prix,11,Sergio Pérez,Force India,False,4,5,1
942,2015,United States Grand Prix,16,Sergio Pérez,Force India,False,5,5,0
945,2015,Abu Dhabi Grand Prix,19,Sergio Pérez,Force India,False,4,5,1
960,2016,Belgian Grand Prix,13,Sergio Pérez,Force India,False,6,5,-1
975,2017,Canadian Grand Prix,7,Sergio Pérez,Force India,False,8,5,-3
982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,False,12,5,-7
1001,2018,Belgian Grand Prix,13,Sergio Pérez,Force India,False,4,5,1
938,2015,Italian Grand Prix,12,Sergio Pérez,Force India,False,7,6,-1
957,2016,British Grand Prix,10,Sergio Pérez,Force India,False,10,6,-4
963,2016,Malaysian Grand Prix,16,Sergio Pérez,Force India,False,7,6,-1
972,2017,Russian Grand Prix,4,Sergio Pérez,Force India,False,9,6,-3
983,2017,Malaysian Grand Prix,15,Sergio Pérez,Force India,False,9,6,-3
