,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
0,2015,Austrian Grand Prix,8,Felipe Massa,experienced,00:00.757,757.8038549253303
1,2015,Austrian Grand Prix,8,Valtteri Bottas,experienced,00:00.771,771.9673074745476
2,2015,Belgian Grand Prix,11,Felipe Massa,experienced,00:01.252,1252.49742208063
3,2015,Belgian Grand Prix,11,Valtteri Bottas,experienced,00:01.558,1558.1315115402217
4,2015,Brazilian Grand Prix,18,Felipe Massa,experienced,00:01.059,1059.7824574613717
5,2015,Brazilian Grand Prix,18,Valtteri Bottas,experienced,00:00.647,647.0806323106452
6,2015,British Grand Prix,9,Felipe Massa,experienced,00:01.532,1532.81869369057
7,2015,British Grand Prix,9,Valtteri Bottas,experienced,00:01.441,1441.049764008336
8,2015,Hungarian Grand Prix,10,Felipe Massa,experienced,00:01.476,1476.008541866652
9,2015,Hungarian Grand Prix,10,Valtteri Bottas,experienced,00:01.036,1036.365219007243
10,2015,Italian Grand Prix,12,Felipe Massa,experienced,00:00.749,749.5857355245884
11,2015,Italian Grand Prix,12,Valtteri Bottas,experienced,00:00.717,717.0734161030186
12,2015,Japanese Grand Prix,14,Felipe Massa,experienced,00:01.194,1194.7417263929713
13,2015,Japanese Grand Prix,14,Valtteri Bottas,experienced,00:01.082,1082.1464295103426
14,2015,Monaco Grand Prix,6,Felipe Massa,experienced,00:01.244,1244.169538697124
15,2015,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:01.388,1388.124817593362
16,2015,Singapore Grand Prix,13,Felipe Massa,experienced,00:00.229,229.187287748468
17,2015,Singapore Grand Prix,13,Valtteri Bottas,experienced,00:00.859,859.5141069232056
18,2015,Spanish Grand Prix,5,Felipe Massa,experienced,00:01.214,1214.0331492309883
19,2015,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.016,1016.9142953443879
20,2016,Austrian Grand Prix,9,Felipe Massa,experienced,00:01.149,1149.4290567432474
