,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
0,2015,Abu Dhabi Grand Prix,19,Felipe Massa,experienced,00:00.928,928.3578489063052
1,2015,Abu Dhabi Grand Prix,19,Valtteri Bottas,experienced,00:01.043,1043.5735153983267
2,2015,Australian Grand Prix,1,Felipe Massa,experienced,00:00.715,715.2011399159071
3,2015,Austrian Grand Prix,8,Felipe Massa,experienced,00:00.757,757.8038549253303
4,2015,Austrian Grand Prix,8,Valtteri Bottas,experienced,00:00.771,771.9673074745476
5,2015,Bahrain Grand Prix,4,Felipe Massa,experienced,00:01.385,1385.588008192563
6,2015,Bahrain Grand Prix,4,Valtteri Bottas,experienced,00:01.188,1188.2493003805512
7,2015,Belgian Grand Prix,11,Felipe Massa,experienced,00:01.252,1252.49742208063
8,2015,Belgian Grand Prix,11,Valtteri Bottas,experienced,00:01.558,1558.1315115402217
9,2015,Brazilian Grand Prix,18,Felipe Massa,experienced,00:01.059,1059.7824574613717
10,2015,Brazilian Grand Prix,18,Valtteri Bottas,experienced,00:00.647,647.0806323106452
11,2015,British Grand Prix,9,Felipe Massa,experienced,00:01.532,1532.81869369057
12,2015,British Grand Prix,9,Valtteri Bottas,experienced,00:01.441,1441.049764008336
13,2015,Canadian Grand Prix,7,Felipe Massa,experienced,00:01.181,1181.947489285185
14,2015,Canadian Grand Prix,7,Valtteri Bottas,experienced,00:00.478,478.84410329464873
15,2015,Chinese Grand Prix,3,Felipe Massa,experienced,00:01.270,1270.7846817942798
16,2015,Chinese Grand Prix,3,Valtteri Bottas,experienced,00:01.450,1450.641297312807
17,2015,Hungarian Grand Prix,10,Felipe Massa,experienced,00:01.476,1476.008541866652
18,2015,Hungarian Grand Prix,10,Valtteri Bottas,experienced,00:01.036,1036.365219007243
19,2015,Italian Grand Prix,12,Felipe Massa,experienced,00:00.749,749.5857355245884
20,2015,Italian Grand Prix,12,Valtteri Bottas,experienced,00:00.717,717.0734161030186
