Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
171,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:22.525000,0 days 00:00:27.439000,0 days 00:00:27.777000,0 days 00:00:27.309000,True,False,True
173,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:22.085000,0 days 00:00:27.424000,0 days 00:00:27.481000,0 days 00:00:27.180000,True,False,True
176,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.838000,0 days 00:00:27.303000,0 days 00:00:27.241000,0 days 00:00:27.294000,True,False,True
179,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.494000,0 days 00:00:27.119000,0 days 00:00:27.231000,0 days 00:00:27.144000,True,False,True
182,2018,Italian Grand Prix,STR,18,Williams,0 days 00:01:21.627000,0 days 00:00:27.183000,0 days 00:00:27.313000,0 days 00:00:27.131000,True,False,True
197,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.605000,0 days 00:00:27.602000,0 days 00:00:27.545000,0 days 00:00:27.458000,True,False,True
199,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.171000,0 days 00:00:27.332000,0 days 00:00:27.627000,0 days 00:00:27.212000,True,False,True
202,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:22.007000,0 days 00:00:27.196000,0 days 00:00:27.576000,0 days 00:00:27.235000,True,False,True
204,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:21.813000,0 days 00:00:27.193000,0 days 00:00:27.530000,0 days 00:00:27.090000,True,False,True
207,2018,Italian Grand Prix,SIR,35,Williams,0 days 00:01:21.732000,0 days 00:00:27.208000,0 days 00:00:27.369000,0 days 00:00:27.155000,True,False,True
568,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.706000,0 days 00:00:19.179000,0 days 00:00:34.225000,0 days 00:00:19.302000,True,False,True
575,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.722000,0 days 00:00:19.085000,0 days 00:00:34.226000,0 days 00:00:19.411000,True,False,True
580,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.521000,0 days 00:00:19.039000,0 days 00:00:34.253000,0 days 00:00:19.229000,True,False,True
651,2018,Monaco Grand Prix,STR,18,Williams,0 days 00:01:13.682000,0 days 00:00:19.374000,0 days 00:00:34.677000,0 days 00:00:19.631000,True,False,True
655,2018,Monaco Grand Prix,STR,18,Williams,0 days 00:01:13.323000,0 days 00:00:19.106000,0 days 00:00:34.464000,0 days 00:00:19.753000,True,False,True
930,2018,British Grand Prix,SIR,35,Williams,0 days 00:01:29.252000,0 days 00:00:28.316000,0 days 00:00:36.278000,0 days 00:00:24.658000,True,False,True
1152,2018,Belgian Grand Prix,SIR,35,Williams,0 days 00:01:45.850000,0 days 00:00:31.056000,0 days 00:00:45.614000,0 days 00:00:29.180000,True,False,True
1155,2018,Belgian Grand Prix,SIR,35,Williams,0 days 00:01:44.998000,0 days 00:00:30.824000,0 days 00:00:45.221000,0 days 00:00:28.953000,True,False,True
1158,2018,Belgian Grand Prix,STR,18,Williams,0 days 00:01:45.593000,0 days 00:00:30.665000,0 days 00:00:45.942000,0 days 00:00:28.986000,True,False,True
1161,2018,Belgian Grand Prix,STR,18,Williams,0 days 00:01:45.134000,0 days 00:00:30.732000,0 days 00:00:45.650000,0 days 00:00:28.752000,True,False,True
1734,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:42.724000,0 days 00:00:27.509000,0 days 00:00:40.026000,0 days 00:00:35.189000,True,False,True
1736,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:41.403000,0 days 00:00:27.488000,0 days 00:00:39.154000,0 days 00:00:34.761000,True,False,True
1739,2018,Singapore Grand Prix,SIR,35,Williams,0 days 00:01:41.263000,0 days 00:00:27.455000,0 days 00:00:39.277000,0 days 00:00:34.531000,True,False,True
1742,2018,Singapore Grand Prix,STR,18,Williams,0 days 00:01:41.334000,0 days 00:00:27.364000,0 days 00:00:39.026000,0 days 00:00:34.944000,True,False,True
1991,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:10.252000,0 days 00:00:17.935000,0 days 00:00:36.162000,0 days 00:00:16.155000,True,False,True
1994,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:09.259000,0 days 00:00:17.949000,0 days 00:00:35.197000,0 days 00:00:16.113000,True,False,True
1999,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:10.381000,0 days 00:00:18.417000,0 days 00:00:35.848000,0 days 00:00:16.116000,True,False,True
